"AT0000A2GLB8","EB EURUSD TL03    ","        ","2020/11/09",27.52          ,-1.15    ,27.84          ,11.96          ,29.44          ,0            ,.00                ,"2020/08/20","E","2","F",.00            ,.00            ,28.10          ,1      
"AT0000A2GLC6","EB GBPCZK TS06    ","        ","2020/11/09",27.44          ,1.78     ,26.96          ,18.79          ,34.87          ,0            ,.00                ,"1900/01/01","E","2","F",.00            ,.00            ,27.26          ,1      
"AT0000A16375","EB GLD IC2        ","        ","2020/11/09",4179.83        ,-4.31    ,4368.25        ,3354.43        ,4570.65        ,1            ,4229.92            ,"2020/11/09","E","2","F",4229.92        ,4229.92        ,4379.98        ,1      
"AT0000A2CVW2","EB GLD TL10       ","        ","2020/11/09",1023.20        ,-14.85   ,1201.58        ,375.40         ,1501.70        ,2000         ,2114940.00         ,"2020/11/09","E","2","F",1057.47        ,1057.47        ,1230.49        ,1      
"AT0000A1AVN7","EB GLD TL9        ","        ","2020/11/09",1459.88        ,-10.89   ,1638.20        ,649.70         ,1900.87        ,0            ,.00                ,"2020/07/15","E","2","F",.00            ,.00            ,1663.67        ,1      
"AT0000A2J4S7","EB GOLD TS10      ","        ","2020/11/09",718.47         ,30.07    ,552.36         ,505.31         ,797.10         ,0            ,.00                ,"2020/11/06","E","2","F",.00            ,.00            ,508.85         ,1      
"AT0000A20HM3","EB HENKEL TS01    ","        ","2020/11/09",36.01          ,-25.04   ,48.04          ,36.01          ,123.49         ,0            ,.00                ,"2020/02/24","E","2","F",.00            ,.00            ,44.90          ,1      
"AT0000A2GKE4","EB INFINEON TL03  ","        ","2020/11/09",41.99          ,3.88     ,40.42          ,21.58          ,46.04          ,0            ,.00                ,"1900/01/01","E","2","F",.00            ,.00            ,41.44          ,1      
"AT0000A2GLX2","EB KOM BC04       ","        ","2020/11/09",996.03         ,3.76     ,959.93         ,922.67         ,1023.79        ,0            ,.00                ,"2020/10/14","E","2","F",.00            ,.00            ,969.14         ,1      
"AT0000A2EHW7","EB KOM TL09       ","        ","2020/11/09",14.89          ,32.83    ,11.21          ,9.28           ,23.50          ,0            ,.00                ,"2020/11/05","E","2","F",.00            ,.00            ,11.99          ,1      
"AT0000A23G73","EB KOM TS03       ","        ","2020/11/09",49.90          ,-7.01    ,53.66          ,20.83          ,57.05          ,0            ,.00                ,"2020/02/05","E","2","F",.00            ,.00            ,53.05          ,1      
"AT0000A28EC4","EB LHA TS02       ","        ","2020/11/09",32.07          ,-13.42   ,37.04          ,11.10          ,40.00          ,0            ,.00                ,"2020/03/26","E","2","F",.00            ,.00            ,36.29          ,1      
"AT0000A2GKF1","EB LUFTHANSA TL03 ","        ","2020/11/09",12.72          ,59.20    ,7.99           ,6.74           ,20.49          ,1630         ,19755.60           ,"2020/11/09","E","2","F",12.12          ,12.12          ,8.53           ,1      
"AT0000A2KPS5","EB LUFTHANSA TS03 ","        ","2020/11/09",3.04           ,-61.32   ,7.86           ,3.04           ,8.86           ,0            ,.00                ,"1900/01/01","E","2","F",.00            ,.00            ,7.24           ,1      
"AT0000A2EMN6","EB MONET TL04     ","        ","2020/11/09",21.41          ,20.01    ,17.84          ,11.21          ,23.17          ,12210        ,257832.10          ,"2020/11/09","E","2","F",21.01          ,21.21          ,18.11          ,1      
"AT0000A2CE70","EB MONET TS03     ","        ","2020/11/09",43.84          ,-7.71    ,47.50          ,17.55          ,55.50          ,0            ,.00                ,"2020/03/23","E","2","F",.00            ,.00            ,47.24          ,1      
"AT0000A2BZT1","EB OMV TS03       ","        ","2020/11/09",88.98          ,-7.98    ,96.70          ,25.12          ,115.77         ,0            ,.00                ,"2020/07/30","E","2","F",.00            ,.00            ,95.94          ,1      
"AT0000A2GLK9","EB OMV TS04       ","        ","2020/11/09",44.42          ,-14.40   ,51.89          ,19.20          ,57.43          ,0            ,.00                ,"1900/01/01","E","2","F",.00            ,.00            ,51.30          ,1      
"AT0000A1NAX3","EB O2 TL02        ","        ","2020/11/09",10.53          ,1.45     ,10.38          ,6.49           ,10.66          ,0            ,.00                ,"2020/08/06","E","2","F",.00            ,.00            ,10.48          ,1      
"AT0000A2CE54","EB O2 TL03        ","        ","2020/11/09",6.25           ,2.29     ,6.11           ,2.41           ,6.39           ,0            ,.00                ,"2020/06/25","E","2","F",.00            ,.00            ,6.20           ,1      
"AT0000A2CE88","EB O2 TS02        ","        ","2020/11/09",4.72           ,-5.41    ,4.99           ,4.66           ,9.35           ,0            ,.00                ,"2020/03/19","E","2","F",.00            ,.00            ,4.77           ,1      
"AT0000A2EMQ9","EB RBI TL03       ","        ","2020/11/09",18.16          ,43.67    ,12.64          ,11.00          ,28.58          ,0            ,.00                ,"2020/06/11","E","2","F",.00            ,.00            ,13.31          ,1      
"AT0000A20HP6","EB RBI TS02       ","        ","2020/11/09",46.57          ,-10.97   ,52.31          ,26.47          ,59.78          ,0            ,.00                ,"2018/08/08","E","2","F",.00            ,.00            ,51.46          ,1      
"AT0000A28CE4","EB RBI TS03       ","        ","2020/11/09",26.31          ,-17.63   ,31.94          ,6.68           ,38.47          ,0            ,.00                ,"2020/06/25","E","2","F",.00            ,.00            ,31.17          ,1      
"AT0000A1PUW8","EB RWE TL01       ","        ","2020/11/09",71.27          ,-.56     ,71.67          ,35.38          ,75.57          ,0            ,.00                ,"2020/04/27","E","2","F",.00            ,.00            ,74.11          ,1      
"AT0000A20HH3","EB SAP TL01       ","        ","2020/11/09",57.51          ,8.61     ,52.95          ,27.41          ,171.83         ,4920         ,288702.00          ,"2020/11/09","E","2","F",58.40          ,59.02          ,56.23          ,1      
"AT0000A2KPT3","EB SAP TS03       ","        ","2020/11/09",173.08         ,-3.36    ,179.09         ,173.08         ,201.44         ,0            ,.00                ,"1900/01/01","E","2","F",.00            ,.00            ,174.53         ,1      
"AT0000A20DM2","EB SIL IC02       ","        ","2020/11/09",540.23         ,-5.18    ,569.76         ,302.24         ,653.47         ,0            ,.00                ,"2020/09/24","E","2","F",.00            ,.00            ,576.89         ,1      
"AT0000A2GLE2","EB SILVER TL08    ","        ","2020/11/09",251.63         ,-10.16   ,280.08         ,112.33         ,372.64         ,0            ,.00                ,"2020/09/29","E","2","F",.00            ,.00            ,288.26         ,1      
"AT0000A2J4T5","EB SILVER TS09    ","        ","2020/11/09",170.40         ,18.03    ,144.37         ,98.30          ,218.89         ,0            ,.00                ,"1900/01/01","E","2","F",.00            ,.00            ,133.20         ,1      
"AT0000A2BZL8","EB USDCZK TL08    ","        ","2020/11/09",9.99           ,-9.67    ,11.06          ,5.02           ,42.47          ,0            ,.00                ,"2020/09/18","E","2","F",.00            ,.00            ,9.78           ,1      
"AT0000A2GLD4","EB USDCZK TS14    ","        ","2020/11/09",43.21          ,2.51     ,42.15          ,25.79          ,48.43          ,0            ,.00                ,"2020/10/20","E","2","F",.00            ,.00            ,43.41          ,1      
"AT0000A1KU14","EB VIG TL02       ","        ","2020/11/09",20.39          ,17.52    ,17.35          ,6.37           ,36.71          ,0            ,.00                ,"2020/11/02","E","2","F",.00            ,.00            ,17.80          ,1      
"AT0000A2EMR7","EB VOW TL04       ","        ","2020/11/09",197.48         ,14.43    ,172.58         ,111.86         ,210.06         ,80           ,15306.40           ,"2020/11/09","E","2","F",191.33         ,191.33         ,177.24         ,1      
"AT0000A2BSS8","EB VOW TS04       ","        ","2020/11/09",119.19         ,-18.34   ,145.95         ,33.34          ,318.08         ,0            ,.00                ,"2020/09/30","E","2","F",.00            ,.00            ,139.67         ,1      
"AT0000A20DN0","EB WTI IC03       ","        ","2020/11/09",621.12         ,8.00     ,575.10         ,229.60         ,1410.50        ,581          ,352519.81          ,"2020/11/09","E","2","F",605.57         ,614.01         ,575.18         ,1      
"AT0000A2GKA2","EB WTI TL19       ","        ","2020/11/09",568.42         ,13.87    ,499.20         ,455.21         ,639.62         ,0            ,.00                ,"2020/11/03","E","2","F",.00            ,.00            ,501.09         ,1      
"AT0000A2GLF9","EB WTI TL20       ","        ","2020/11/09",455.26         ,18.06    ,385.61         ,349.98         ,527.94         ,193          ,77148.97           ,"2020/11/09","E","2","F",392.69         ,403.15         ,388.08         ,1      
"AT0000A2J4R9","EB WTI TL21       ","        ","2020/11/09",252.00         ,38.77    ,181.59         ,137.88         ,276.51         ,1240         ,290634.40          ,"2020/11/09","E","2","F",232.66         ,250.51         ,185.09         ,1      
"AT0000A21BC5","EB WTI TS12       ","        ","2020/11/09",1142.16        ,-6.40    ,1220.21        ,491.90         ,1986.01        ,0            ,.00                ,"2019/05/23","E","2","F",.00            ,.00            ,1207.20        ,1      
